# Anwendung
name;bezeichnung
XPOLIZEI;XPolizei

# Katalog
schluessel;name;bezeichnung;herkunft;version;gueltigAb
412;Vereine / Mannschaften (Fußball / Eishockey);Vereine / Mannschaften (Fußball / Eishockey);ZIR;V1.0;20210930

# Katalogwerte
schluessel;bezeichnung;anzeigeReihenfolge;auswahlerlaubt;loeschstatus;extId;Abkürzung;Beschreibung;Zugangsvokabular;Sportart
412_309;Olympischer Sport-Club Bremerhaven v. 1972 e. V.;0;1;0;NULL;;;;Fußball
412_31;1. FC Wilmersdorf 1911 e. V.;0;1;0;NULL;;;;Fußball
412_310;Oranienburger FC Eintracht;0;1;0;NULL;;;;Fußball
412_311;Pritzwalker FHV 03 e. V.;0;1;0;NULL;;;;Fußball
412_312;RasenBallsport Leipzig;0;1;0;NULL;;;;Fußball
412_313;RasenBallsport Leipzig II;0;1;0;NULL;;;;Fußball
412_314;RasenBallsport Leipzig U19;0;1;0;NULL;;;;Fußball
412_315;Reichenbacher FC;0;1;0;NULL;;;;Fußball
412_316;Rixdorfer SV;0;1;0;NULL;;;;Fußball
412_317;Roßweiner SV;0;1;0;NULL;;;;Fußball
412_318;Rostocker FC von 1895;0;1;0;NULL;;;;Fußball
412_319;Rot Weiss Ahlen e. V.;0;1;0;NULL;;;;Fußball
412_32;1. FC Wunstorf;0;1;0;NULL;;;;Fußball
412_320;Rotenburger SV;0;1;0;NULL;;;;Fußball
412_321;Roter Stern Leipzig e. V.;0;1;0;NULL;;;;Fußball
412_322;Rot-Weiß Erfurt U19;0;1;0;NULL;;;;Fußball
412_323;Rot-Weiss Essen e. V.;0;1;0;NULL;;;;Fußball
412_324;RSV Eintracht 1949;0;1;0;NULL;;;;Fußball
412_325;RSV Meinerzhagen;0;1;0;NULL;;;;Fußball
412_326;RSV Seelze;0;1;0;NULL;;;;Fußball
412_327;S.D. Croatia-Berlin;0;1;0;NULL;;;;Fußball
412_328;SC 13 Bad Neuenahr;0;1;0;NULL;;;;Fußball
412_329;SC 1903 Weimar;0;1;0;NULL;;;;Fußball
412_33;1. FSC Lohfelden;0;1;0;NULL;;;;Fußball
412_330;SC 1918 Großengottern e. V.;0;1;0;NULL;;;;Fußball
412_331;SC 1920 Oberhausen;0;1;0;NULL;;;;Fußball
412_332;SC 1929 Waldgirmes;0;1;0;NULL;;;;Fußball
412_333;SC Borsigwalde 1910 e. V.;0;1;0;NULL;;;;Fußball
412_334;SC Charlottenburg;0;1;0;NULL;;;;Fußball
412_335;SC Eltersdorf;0;1;0;NULL;;;;Fußball
412_336;SC Fortuna Köln;0;1;0;NULL;;;;Fußball
412_337;SC Gatow;0;1;0;NULL;;;;Fußball
412_338;SC Gitter;0;1;0;NULL;;;;Fußball
412_339;SC Halberg Brebach;0;1;0;NULL;;;;Fußball
412_34;1. FSV Mainz 05;0;1;0;NULL;;;;Fußball
412_340;SC Hessen Dreieich;0;1;0;NULL;;;;Fußball
412_341;SC Idar-Oberstein;0;1;0;NULL;;;;Fußball
412_342;SC Olching e. V.;0;1;0;NULL;;;;Fußball
412_343;SC Paderborn 07;0;1;0;NULL;;;;Fußball
412_344;SC Preußen Münster;0;1;0;NULL;;;;Fußball
412_345;SC Rot-Weiß Oberhausen;0;1;0;NULL;;;;Fußball
412_346;SC Staaken;0;1;0;NULL;;;;Fußball
412_347;SC Staaken 1919 e. V. Berlin;0;1;0;NULL;;;;Fußball
412_348;SC Union-Südost;0;1;0;NULL;;;;Fußball
412_349;SC Verl;0;1;0;NULL;;;;Fußball
412_35;1. FSV Mainz 05 II;0;1;0;NULL;;;;Fußball
412_350;SC Weiche Flensburg 08;0;1;0;NULL;;;;Fußball
412_351;SC Westfalia Herne;0;1;0;NULL;;;;Fußball
412_352;SC Wiedenbrück 2000;0;1;0;NULL;;;;Fußball
412_353;SE Freising;0;1;0;NULL;;;;Fußball
412_354;SF Köllerbach;0;1;0;NULL;;;;Fußball
412_355;SFC Stern 1900;0;1;0;NULL;;;;Fußball
412_356;SG 1. FC Sonneberg 04;0;1;0;NULL;;;;Fußball
412_357;SG 2000 Mülheim-Kärlich;0;1;0;NULL;;;;Fußball
412_358;SG Barockstadt Fulda Lehnerz;0;1;0;NULL;;;;Fußball
412_359;SG Buna Halle;0;1;0;NULL;;;;Fußball
412_36;1. Fußball-Club Düren e. V.;0;1;0;NULL;;;;Fußball
412_360;SG DJK Struth Diedorf;0;1;0;NULL;;;;Fußball
412_361;SG Dynamo Dresden;0;1;0;NULL;;;;Fußball
412_362;SG Einheit Zepernick e. V.;0;1;0;NULL;;;;Fußball
412_363;SG Grün Weiß Berlin - Baumschulenweg;0;1;0;NULL;;;;Fußball
412_364;SG Letter 05;0;1;0;NULL;;;;Fußball
412_365;SG Neukirchen/Erzg;0;1;0;NULL;;;;Fußball
