# Anwendung
name;bezeichnung
XPOLIZEI;XPolizei

# Katalog
schluessel;name;bezeichnung;herkunft;version;gueltigAb
265;PMK-politischer Kalender;PMK-politischer Kalender;ZIR;V1.8;20210930

# Katalogwerte
schluessel;bezeichnung;anzeigeReihenfolge;auswahlerlaubt;loeschstatus;extId;Abkürzung;Beschreibung;Gültig_ab;Gültig_bis;Zugangsvokabular;Ereignisdatum;Land_Gebiet
265_41;Gründung der PLO;0;1;0;NULL;;;2001-01-01;2016-12-31;;1964-05-28;Palästinensische Autonomiegebiete
265_42;Gründung der SS;0;1;0;NULL;;;2001-01-01;2018-12-31;;1925-11-09;Deutschland
265_43;Gründung des "Nationalen Widerstandsrates Iran" (NWRI);0;1;0;NULL;;;2001-01-01;2016-12-31;NWRI;1981-07-21;Iran
265_44;Gründung des II. Deutschen Reiches;0;1;0;NULL;;;2001-01-01;2016-12-31;;1871-01-18;Deutschland
265_45;Gründungstag der PKK;0;1;0;NULL;;;2001-01-01;;;1978-11-27;Türkei
265_46;Halim DENER;0;1;0;NULL;;tödliche Verletzung des kurdischen Jugendlichen durch Polizeibeamte in Hannover;2001-01-01;;;1994-06-30;Türkei
265_47;Hinrichtung von Kriegsverbrechern in Nürnberg;0;1;0;NULL;;;2001-01-01;2018-12-31;;1946-10-16;Deutschland
265_48;Hiroshima;0;1;0;NULL;;Abwurf einer Atombombe auf die japanische Stadt durch die USA;2001-01-01;2018-12-31;;1945-08-06;Japan
265_49;HITLER wird Reichskanzler;0;1;0;NULL;;;2001-01-01;2018-12-31;;1933-01-30;Deutschland
265_5;Anschlag gegen Aleviten in Istanbul;0;1;0;NULL;;;2001-01-01;2018-12-31;;1995-03-13;Türkei
265_50;Inkrafttreten der Kapitulation für alle deutschen Truppen;0;1;0;NULL;;;2001-01-01;;;1945-05-09;Deutschland
265_51;'"internationaler Frauenkampftag"';0;1;0;NULL;;;2001-01-01;;;0000-11-25;Deutschland
265_52;internationaler Frauentag;0;1;0;NULL;;;2001-01-01;;;0000-03-08;Deutschland
265_53;'"Internationaler Kampftag zur Befreiung der politischen Gefangenen weltweit"';0;1;0;NULL;;seit 1997;2001-01-01;2016-12-31;;0000-12-10;Deutschland
265_54;Israelischer Angriff auf das PLO-Hauptquartier in Tunis;0;1;0;NULL;;;2001-01-01;2016-12-31;;1985-10-01;Palästinensische Autonomiegebiete
265_55;Jahrestag der Bombardierung Dresdens;0;1;0;NULL;;;2007-01-01;;;1945-02-13;Deutschland
265_56;Jahrestag der Revolution;0;1;0;NULL;;;2001-01-01;2016-12-31;;1958-07-14;Irak
265_57;Jahrestag der Unterzeichnung des ägyptisch-israelischen Friedensvertrages in Washington;0;1;0;NULL;;;2001-01-01;2016-12-31;;1978-03-26;Agypten, Palästinensische Autonomiegebiete
265_58;Jahrestag der VN-Teilungsresolution;0;1;0;NULL;;;2001-01-01;2016-12-31;;1947-11-29;Palästinensische Autonomiegebiete
265_59;Judenpogrom ("Reichskristallnacht");0;1;0;NULL;;;2001-01-01;;Judenpogrom;1938-11-09;Deutschland
265_6;Antikriegstag;0;1;0;NULL;;'seit 1966; anl. des Ausbruchs des 2. Weltkriegs';2001-01-01;2019-12-31;;1939-09-01;Deutschland
265_60;Kapitulation im 1. Weltkrieg;0;1;0;NULL;;;2001-01-01;2016-12-31;;1918-11-09;Deutschland
