# Anwendung
name;bezeichnung
XPOLIZEI;XPolizei

# Katalog
schluessel;name;bezeichnung;herkunft;version;gueltigAb
230;Währung;Währung;ZIR;V1.4;20161216

# Katalogwerte
schluessel;bezeichnung;anzeigeReihenfolge;auswahlerlaubt;loeschstatus;extId;Abkürzung;Beschreibung;Gültig_ab;Gültig_bis;Zugangsvokabular;Währungsgruppe;ISO_4217
230_46;Jugoslawischer Neuer Dinar (bis 2003);0;1;0;NULL;;;;2003-12-31;;Dinar;YUM
230_47;VAE-Dirham;0;1;0;NULL;;;;;;Dirham;AED
230_48;Marokkanischer Dirham;0;1;0;NULL;;;;;;Dirham;MAD
230_49;Sucre (bis 09.09.2000);0;1;0;NULL;;;;2000-09-09;;;ECS
230_5;Bahama-Dollar;0;1;0;NULL;;;;;;Dollar;BSD
230_50;Nakfa;0;1;0;NULL;;;;;;;ERN
230_51;Kap-Verde-Escudo;0;1;0;NULL;;;;;;Escudo;CVE
230_52;Escudo (bis 31.12.2001);0;1;0;NULL;;;;2001-12-31;;Escudo;PTE
230_53;Peseta (bis 31.12.2001);0;1;0;NULL;;;;2001-12-31;;;ESP
230_54;Birr;0;1;0;NULL;;;;;;;ETB
230_55;Euro;0;1;0;NULL;;;;;;;EUR
230_56;Belgischer Franc (bis 31.12.2001);0;1;0;NULL;;;;2001-12-21;;Franc;BEF
230_57;Burundi-Franc;0;1;0;NULL;;;;;;Franc;BIF
230_58;Kongo-Franc;0;1;0;NULL;;;;;;Franc;CDF
230_59;Schweizer Franken;0;1;0;NULL;;;;;;Franc;CHF
230_6;Belize-Dollar;0;1;0;NULL;;;;;;Dollar;BZD
230_60;Dschibuti Franc;0;1;0;NULL;;;;;;Franc;DJF
230_61;Französischer Franc (bis 16.02.2002);0;1;0;NULL;;;;2002-02-16;;Franc;FRF
230_62;Guinea-Franc;0;1;0;NULL;;;;;;Franc;GNF
230_63;Komoren-Franc;0;1;0;NULL;;;;;;Franc;KMF
230_64;Luxemburgischer Franc (bis 31.12.2001);0;1;0;NULL;;;;2001-12-31;;Franc;LUF
230_65;Madagaskar-Franc (bis 31.12.2004);0;1;0;NULL;;;;2004-12-31;;Franc;MGF
230_66;Ruanda-Franc;0;1;0;NULL;;;;;;Franc;RWF
230_67;CFA-Franc (BEAC);0;1;0;NULL;;;;;;Franc;XAF
230_68;CFA-Franc (BCEAO);0;1;0;NULL;;;;;;Franc;XOF
230_69;CFP-Franc;0;1;0;NULL;;;;;;Franc;XPF
230_7;Kanadischer Dollar;0;1;0;NULL;;;;;;Dollar;CAD
230_70;Lari;0;1;0;NULL;;;;;;;GEL
230_71;Cedi (bis 31.12.2007);0;1;0;NULL;;;;2007-12-31;;;GHC
230_72;Dalasi;0;1;0;NULL;;;;;;;GMD
230_73;Drachme (bis 28.02.2002);0;1;0;NULL;;;;2002-02-28;;;GRD
230_74;Quetzal;0;1;0;NULL;;;;;;;GTQ
230_75;Antillen-Gulden;0;1;0;NULL;;;;;;Gulden;ANG
230_76;Niederländischer Gulden (bis 28.01.2002);0;1;0;NULL;;;;2002-01-28;;Gulden;NLG
230_77;Suriname-Gulden (bis 31.12.2003);0;1;0;NULL;;;;2003-12-31;;Gulden;SRG
230_78;Lempira;0;1;0;NULL;;;;;;;HNL
230_79;Kuna;0;1;0;NULL;;;;;;;HRK
230_8;Fidschi-Dollar;0;1;0;NULL;;;;;;Dollar;FJD
230_80;Gourde;0;1;0;NULL;;;;;;;HTG
230_81;Forint;0;1;0;NULL;;;;;;;HUF
230_82;Neuer israelischer Schekel;0;1;0;NULL;;;;;;;ILS
230_83;Indische Rupie;0;1;0;NULL;;;;;;;INR
230_84;Yen;0;1;0;NULL;;;;;;;JPY
230_85;Som;0;1;0;NULL;;;;;;;KGS
230_86;Tschechische Krone;0;1;0;NULL;;;;;;Krone;CZK
230_87;Dänische Krone;0;1;0;NULL;;;;;;Krone;DKK
230_88;Estnische Krone (bis 15.01.2011);0;1;0;NULL;;;;2011-01-15;;Krone;EEK
230_89;Isländische Krone;0;1;0;NULL;;;;;;Krone;ISK
230_9;Guyana-Dollar;0;1;0;NULL;;;;;;Dollar;GYD
230_90;Norwegische Krone;0;1;0;NULL;;;;;;Krone;NOK
230_91;Schwedische Krone;0;1;0;NULL;;;;;;Krone;SEK
230_92;Slowakische Krone (bis 16.01.2009);0;1;0;NULL;;;;2009-01-16;;Krone;SKK
230_93;Malawi-Kwacha;0;1;0;NULL;;;;;;Kwacha;MWK
230_94;Sambischer Kwacha (bis 30.06.2013);0;1;0;NULL;;;;2013-06-30;;Kwacha;ZMK
230_95;Kwanza;0;1;0;NULL;;;;;;Kwanza;AOA
230_96;Neuer Kwanza (bis 1995);0;1;0;NULL;;;;1995-12-31;;Kwanza;AON
230_97;Tenge;0;1;0;NULL;;;;;;;KZT
230_98;Kip;0;1;0;NULL;;;;;;;LAK
230_99;Moldauischer Leu;0;1;0;NULL;;;;;;Leu;MDL
